Disease,Source,Statement,Content, Date, Link
Malaria cases,Times of India,Spurt in malaria cases| nearly 600 detected in Mumbai,Malaria cases have shown a significant spurt in the first fortnight of the month| with nearly 600 cases being detected. The mosquito-borne disease has also caused the year’s first two monsoon-related deaths| halting the city’s zero malaria death record of 2019.,19 Aug 2020,https://timesofindia.indiatimes.com/city/mumbai/spurt-in-malaria-cases-nearly-600-detected-in-mumbai/articleshow/77622291.cms
Malaria cases,Times of India,Severe malaria cases in Ahmedabad a concern: Study,Just as monsoon sets in| vector-borne diseases become a worry. But a new study has pointed to a new concern for malaria| one of the most common mosquito-caused diseases in the city.,17 Jun 2020,https://timesofindia.indiatimes.com/city/ahmedabad/severe-malaria-cases-in-abad-a-concern-study/articleshow/76413766.cms
Malaria cases,Times of India,45 malaria cases in Delhi| 35 of dengue,Forty-five cases of malaria and 35 of dengue have been reported in the national capital this year till August 8| according to a municipal report released on Monday.,10 Aug 2020,https://timesofindia.indiatimes.com/city/delhi/45-malaria-cases-in-delhi-35-of-dengue/articleshow/77467834.cms
Malaria cases,Times of India,Spike in dengue| malaria cases a new challenge amid Covid in Hyderabad,,20 Jul 2020,https://timesofindia.indiatimes.com/city/hyderabad/spike-in-dengue-malaria-cases-a-new-challenge-amid-covid/articleshow/77056677.cms
Malaria cases,Times of India,Gujarat: 49 cases of malaria| 36 of dengue daily,Data on the vector-borne diseases and swine flu were tabled in the assembly on Thursday. The data mentioned that on average 49 cases of malaria| 36 of dengue and 10 of swine flu were recorded in Gujarat between January 1| 2018 and December 31| 2019.,28 Feb 2020,https://timesofindia.indiatimes.com/city/ahmedabad/49-cases-of-malaria-36-of-dengue-daily/articleshow/74347777.cms
Malaria cases,Times of India,Noida: No dengue| malaria cases so far this year,Although the monsoon is here| the city has not reported any dengue or malaria case so far. One of the reasons| healthcare workers say| is that people are being extra cautious because of the pandemic and local administrations are conducting sanitation drives regularly.,16 Aug 2020,https://timesofindia.indiatimes.com/city/noida/noida-no-dengue-malaria-cases-so-far-this-year/articleshow/77576936.cms
Malaria cases,Times of India,Lockdown| awareness pull down malaria by 72% in state,,19 Aug 2020,https://timesofindia.indiatimes.com/city/ranchi/lockdown-awareness-pull-down-malaria-by-72-in-state/articleshow/77621500.cms
Malaria cases,Times of India,Turnaround: Cases drop by 40% in Bengaluru south,Not long ago| fears of community transmission loomed over Bengaluru south zone as the positivity rate hovered around 25%.,2020-08-26T05:32:08Z,https://timesofindia.indiatimes.com/city/bengaluru/big-turnaround-for-bluru-south-as-daily-cases-drop-by-40/articleshow/77748960.cms
Malaria cases,Times of India,Monsoon double whammy: Covid with malaria and leptospirosis in Mumbai,City doctors have begun seeing the worrisome combination of Covid with rain-related ailments such as dengue| malaria and leptospirosis. All tertiary medical colleges have seen lepto-Covid| dengue-Covid and malaria-Covid cases in the past few weeks| though there haven’t been many surprises and patients seem to be recovering with standard line of care.,25 Jul 2020,https://timesofindia.indiatimes.com/city/mumbai/monsoon-double-whammy-covid-with-malaria-lepto/articleshow/77159903.cms
Malaria cases,Times of India,Kerala: Fever cases reduce by half during lockdown in Ernakulam,During the lockdown period (April and May)| the number of fever cases in Ernakulam reduced by more than half. Ditto with malaria and chicken pox cases| even as dengue cases increased. There was even a leptospirosis death.,06 Jun 2020,https://timesofindia.indiatimes.com/city/kochi/fever-cases-reduce-by-half-during-lockdown-in-district/articleshow/76224326.cms
Malaria cases,Times of India,Malaria bites Mumbai again| claims 2 lives| breaks 2019's zero death record,Malaria has claimed two lives ending the city's short-lived streak of zero casualties caused by the mosquito-borne disease.,11 Aug 2020,https://timesofindia.indiatimes.com/city/mumbai/malaria-bites-mumbai-again-claims-2-lives-breaks-2019s-zero-death-record/articleshow/77495350.cms
Malaria cases,Times of India,Sharp rise in cases of ‘killer’ PF malaria strain in Bareilly,Bareilly has reported a sharp increase in cases of plasmodium falciparum (PF)| the "killer" strain of malaria| as 435 people have been infected this month| up from 11 cases in July. Only 152 PF cases were reported between January and July.,2020-08-23T06:37:08Z,https://timesofindia.indiatimes.com/city/bareilly/sharp-rise-in-cases-of-killer-pf-malaria-strain-in-bareilly/articleshow/77696433.cms
Malaria cases,Times of India,JAC seeks 10-day lockdown in Vizag Agency,Fearing a rise in number of Covid-19 cases| activists| traders and students in Vizag Agency are demanding officials impose a lockdown in the region for a week to 10 days.,06 Aug 2020,https://timesofindia.indiatimes.com/city/visakhapatnam/adivasi-jac-calls-for-week-long-lockdown-in-vizag-agency/articleshow/77379984.cms
Malaria cases,Times of India,Toll crosses 10|000 in MMR and 16|000 in Maharashtra| recoveries close to 3 lakh,,05 Aug 2020,https://timesofindia.indiatimes.com/city/mumbai/toll-crosses-10000-in-mmr-and-16000-in-maharashtra-recoveries-close-to-3-lakh/articleshow/77363694.cms
Malaria cases,Times of India,Visakhapatnam: Drop in dengue and malaria cases linked to low testing?,Vizag city has reported 59 dengue and 22 malaria cases as of August 8| significantly lower than that reported in the last few years. In 2018| the city recorded 416 malaria and 1|464 dengue cases| which declined in 2019 to 89 malaria and 827 dengue cases. The steep drop in the cases this year is being attributed to decreased testing for malaria and dengue in view of measures to manage and contain Covid-19. Visakhapatnam district has reported around 20|500 Covid-19 cases as of Monday.,11 Aug 2020,https://timesofindia.indiatimes.com/city/visakhapatnam/drop-in-dengue-and-malaria-cases-linked-to-low-testing/articleshow/77471275.cms
